Code;Typ;Subsystem;Kurztext;Ursache;Abhilfe;SeitVersion;Status
11001;F;Bluetooth;PING keine Antwort;BT-Modul antwortet nicht (Verkabelung, Versorgung oder falsche Baudrate);UART und CTS/RTS pruefen, Power-Cycle des Moduls;5.09;aktiv
11002;F;Bluetooth;Flow Control setzen fehlgeschlagen;STU/SCFG vom Modul nicht bestaetigt;BT-Verbindung trennen und erneut konfigurieren;5.09;aktiv
11003;F;Bluetooth;Name setzen fehlgeschlagen;SDN-Kommando ohne Antwort (Flash-Timing oder aktive Verbindung);Aktive BT-Verbindung trennen, Konfiguration wiederholen;5.09;aktiv
11004;F;Bluetooth;Name-Verifikation fehlgeschlagen;Geraet liest anderen Namen als erwartet zurueck;Seriennummer pruefen, Konfiguration wiederholen;5.09;aktiv
11005;F;Bluetooth;Kein BT-Modul gefunden;Auf keiner Baudrate eine Antwort (Modul nicht da/defekt);Verkabelung und Modul pruefen, Power-Cycle;5.09;aktiv
12001;F;GSM/LTE;Modem keine Antwort;Quectel-Modem antwortet nicht auf AT;Versorgung, PWRKEY und SIM pruefen;5.09;aktiv
12002;F;GSM/LTE;SIM-PIN-Problem;SIM-PIN falsch oder nicht gesetzt;PIN in den Einstellungen pruefen;5.09;aktiv
13001;F;Menue/Kommunikation;Parametertransfer fehlerhaft;Empfangener Parametersatz ungueltig;Uebertragung wiederholen;5.09;aktiv
16001;F;Flash/Speicher;Schreiben fehlgeschlagen;Flash-Write nicht bestaetigt;Geraet neu starten, bei Wiederholung Hardware pruefen;5.09;aktiv
11006;F;Bluetooth;Unbekannter BT-Modultyp;Weder IF820 noch RN4678 noch Laird erkannt;Firmware-Konfiguration und Modultyp pruefen;5.09;aktiv
11007;F;Bluetooth;Flow Control Verifikation fehlgeschlagen;Flow Control gesetzt aber Rueckmeldung negativ;BT-Verbindung trennen und erneut konfigurieren;5.09;aktiv
11008;F;Bluetooth;Seriennummer nicht gesetzt;Geraete-Seriennummer leer oder letzte 4 Ziffern null;Seriennummer im Geraet eintragen;5.09;aktiv
11009;F;Bluetooth;BT UART Init fehlgeschlagen;CTS blieb High oder Kanalwechsel fehlgeschlagen;Verkabelung CTS/RTS pruefen, Power-Cycle des Moduls;5.09;aktiv
11010;F;Bluetooth;BT Modul nicht konfiguriert;Modultyp 0 nach Initialisierungssequenz;Geraet neu starten, Modul und Verkabelung pruefen;5.09;aktiv
11011;F;Bluetooth;BT AT-Befehl fehlgeschlagen;AT-Kommando ohne OK-Antwort;BT-Verbindung pruefen, Modul neu starten;5.09;aktiv
11012;F;Bluetooth;BT Verbindungstest fehlgeschlagen;BTT-Kommando ohne Antwort;Aktive BT-Verbindung und Gegenstelle pruefen;5.09;aktiv
11013;F;Bluetooth;BT Verbindungsaufbau fehlgeschlagen;CR-Kommando ohne Antwort;BT-Gegenstelle und Verbindungsstatus pruefen;5.09;aktiv
11014;F;Bluetooth;BT PIN setzen fehlgeschlagen;PIN-Setzbefehl ohne Bestaetigung;Seriennummer und BT-Verbindung pruefen;5.09;aktiv
12003;F;GSM/LTE;GSM Verbindung Timeout;Verbindungsaufbau abgebrochen nach 5 Versuchen;SIM, Antenne und Netzabdeckung pruefen;5.09;aktiv
12004;F;GSM/LTE;GSM Verbindungsfehler;Verbindungsversuch fehlgeschlagen;APN-Konfiguration und SIM-Status pruefen;5.09;aktiv
12005;F;GSM/LTE;GSM Datentransfer fehlgeschlagen;Sendeoperation abgebrochen;Netzverbindung und Zielserver pruefen;5.09;aktiv
12006;F;GSM/LTE;GSM SMS Laenge fehlerhaft;SMS-Paket kuerzer als erwartet;SMS-Inhalt und Verbindungsqualitaet pruefen;5.09;aktiv
12007;F;GSM/LTE;GSM SMS Senden fehlgeschlagen;SMS-Sendebefehl mit negativem Rueckgabewert;Netz und SMS-Einstellungen pruefen;5.09;aktiv
12008;F;GSM/LTE;Firmware CRC-Fehler GSM;CRC-Pruefsumme nach Firmware-Transfer stimmt nicht;Uebertragung wiederholen, Quelldatei pruefen;5.09;aktiv
13002;F;Menue/Kommunikation;Flash fehlt oder zu klein;Kein Flash oder Groesse ausserhalb Bereich;Flash-Hardware pruefen;5.09;aktiv
13003;F;Menue/Kommunikation;Firmware-Transfer Xmodem Fehler;Xmodem-Protokoll-Fehler beim Firmware-Upload;Uebertragung wiederholen, Kabel und Terminal pruefen;5.09;aktiv
13004;F;Menue/Kommunikation;IAP Programmierfehler;Kontrollfluss erreichte IAP-Fehlerposition;Firmware pruefen, Service kontaktieren;5.09;aktiv
13005;F;Menue/Kommunikation;Firmware CRC-Fehler;CRC-Pruefsumme der hochgeladenen Firmware falsch;Upload wiederholen, Quelldatei pruefen;5.09;aktiv
13006;F;Menue/Kommunikation;Keine gueltige Firmware;Hochgeladene Datei enthaelt keinen ARM-Code;Korrekte Firmware-Datei verwenden;5.09;aktiv
13007;F;Menue/Kommunikation;Firmware-Upload GSM Fehler;Firmware-Transfer ueber GSM fehlgeschlagen;Netzverbindung und Datei pruefen;5.09;aktiv
13008;F;Menue/Kommunikation;Default-Parameter Fehler;Default-Parametersatz konnte nicht geschrieben werden;Flash pruefen, Geraet neu starten;5.09;aktiv
13009;F;Menue/Kommunikation;I2C Expander Init fehlgeschlagen;I2C-Expander IC58 nicht erreichbar;I2C-Bus und Expander pruefen;5.09;aktiv
13010;F;Menue/Kommunikation;Kommunikations-Protokollfehler;Protokollkommando ungueltig oder nicht unterstuetzt;Verbindung und Protokollversion pruefen;5.09;aktiv
